Date,Day of Week,# in Line,Line-up Time,Pick-up Time,Notes
11/29/2016,Tuesday,23,8:21:00 AM,,Took bus
11/30/2016,Wednesday,0,8:09:00 AM,8:09:00 AM,
11/30/2016,Wednesday,8,8:23:00 AM,8:25:00 AM,
12/1/2016,Thursday,0,7:42:00 AM,7:42:00 AM,
12/2/2016,Friday,6,8:18:00 AM,8:23:00 AM,
12/5/2016,Monday ,17,8:28:00 AM,8:38:00 AM,
12/6/2016,Tuesday,8,8:00:00 AM,8:05:00 AM,
12/6/2016,Tuesday,19,8:17:00 AM,,Bus
12/7/2016,Wednesday,9,7:51:00 AM,7:54:00 AM,
12/7/2016,Wednesday,9,8:54:00 AM,9:00:00 AM,
12/8/2016,Thursday,7,7:49:00 AM,7:53:00 AM,
12/12/2016,Monday,15,7:55:00 AM,7:58:00 AM,Took bus; 8 people left
12/12/2016,Monday ,6,8:41:00 AM,8:48:00 AM,
12/13/2016,Tuesday,6,7:48:00 AM,7:56:00 AM,
12/13/2016,Tuesday,3,8:11:00 AM,8:14:00 AM,
12/14/2016,Wednesday,18,7:31:00 AM,7:41:00 AM,
12/14/2016,Wednesday,7,8:11:00 AM,8:13:00 AM,
12/15/2016,Thursday,9,8:14:00 AM,8:16:00 AM,
12/16/2016,Friday,4,8:23:00 AM,8:30:00 AM,
12/19/2016,Monday,21,7:50:00 AM,,took bus; no cars came
12/20/2016,Tuesday ,8,8:12:00 AM,8:16:00 AM,
12/21/2016,Wednesday,3,8:13:00 AM,8:14:00 AM,
12/22/2016,Thursday,16,8:07:00 AM,8:20:00 AM,
12/27/2016,Tuesday,2,8:35:00 AM,8:39:00 AM,
12/30/2016,Friday,4,8:07:00 AM,8:11:00 AM,
1/3/2017,Tuesday,10,7:50:00 AM,8:01:00 AM,
1/4/2017,Wednesday,3,7:19:00 AM,7:21:00 AM,
1/4/2017,Wednesday,4,8:09:00 AM,8:12:00 AM,
1/5/2017,Thursday,13,7:54:00 AM,8:05:00 AM,
1/5/2017,Thursday,2,8:27:00 AM,8:31:00 AM,
1/6/2017,Friday,5,7:24:00 AM,7:26:00 AM,"Took bus, 5 still in line"
1/6/2017,Friday,7,8:16:00 AM,8:21:00 AM,
1/9/2017,Monday,19,7:44:00 AM,7:54:00 AM,
1/9/2017,Monday,20,8:15:00 AM,8:25:00 AM,
1/10/2017,Tuesday,1,7:19:00 AM,7:19:00 AM,
1/10/2017,Tuesday,0,8:22:00 AM,8:22:00 AM,
1/11/2017,Wednesday,0,7:16:00 AM,7:16:00 AM,
1/11/2017,Wednesday,5,8:22:00 AM,8:22:00 AM,
1/12/2017,Thursday,1,7:37:00 AM,7:44:00 AM,
1/12/2017,Thursday,7,8:34:00 AM,8:37:00 AM,
1/13/2017,Friday,1,7:49:00 AM,7:52:00 AM,
1/13/2017,Friday,4,8:24:00 AM,8:26:00 AM,
1/17/2017,Tuesday,0,7:22:00 AM,7:22:00 AM,
1/17/2017,Tuesday,16,8:10:00 AM,8:21:00 AM,
1/18/2017,Wednesday,0,7:15:00 AM,7:15:00 AM,
1/18/2017,Wednesday,4,8:24:00 AM,8:25:00 AM,
1/19/2017,Thursday,0,7:27:00 AM,7:27:00 AM,
1/19/2017,Thursday,0,7:42:00 AM,7:45:00 AM,
1/20/2017,Friday,0,7:51:00 AM,7:51:00 AM,
1/20/2017,Friday,4,8:07:00 AM,8:13:00 AM,
1/23/2017,Monday,0,7:21,7:21:00 AM,
1/23/2017,Monday,1,8:06:00 AM,8:07:00 AM,
1/24/2017,Tuesday,7,7:24:00 AM,7:26:00 AM,
1/24/2017,Tuesday,21,8:07:00 AM,8:16:00 AM,
1/25/2017,Wednesday,2,7:30:00 AM,7:34:00 AM,
1/25/2017,Wednesday,11,8:04:00 AM,8:09:00 AM,
1/26/2017,Thursday ,3,8:15:00 AM,8:20:00 AM,
1/30/2017,Monday,10,8:28:00 AM,8:33:00 AM,
1/31/2017,Tuesday,2,7:19:00 AM,7:21:00 AM,
1/31/2017,Tuesday,11,8:29:00 AM,8:31:00 AM,
2/1/2017,Wednesday,0,7:22:00 AM,7:22:00 AM,
2/1/2017,Wednesday,19,8:29:00 AM,8:40:00 AM,
2/2/2017,Thursday,2,7:32:00 AM,7:38:00 AM,
2/2/2017,Thursday,0,8:28:00 AM,8:28:00 AM,Rain
2/3/2017,Friday,0,7:33:00 AM,7:35:00 AM,
2/3/2017,Friday,10,8:24:00 AM,8:29:00 AM,
2/6/2017,Monday,0,7:23:00 AM,7:23:00 AM,
2/6/2017,Monday,5,8:35:00 AM,8:38:00 AM,
2/7/2017,Tuesday,0,7:17:00 AM,7:17:00 AM,
2/7/2017,Tuesday,7,8:19:00 AM,8:22:00 AM,Rain
2/8/2017,Wednesday,10,7:43:00 AM,7:48:00 AM,
2/8/2017,Wednesday,6,8:09:00 AM,8:12:00 AM,
2/9/2017,Thursday,0,7:23:00 AM,7:23:00 AM,
2/9/2017,Thursday,10,8:40:00 AM,8:45:00 AM,
2/10/2017,Friday,21,7:37:00 AM,7:51:00 AM,
2/14/2017,Tuesday,0,7:16:00 AM,7:18:00 AM,
2/15/2017,Wednesday,0,6:58:00 AM,6:58:00 AM,
2/15/2017,Wednesday,0,8:37:00 AM,8:37:00 AM,
2/16/2017,Thursday,1,7:22:00 AM,7:22:00 AM,
2/16/2017,Thursday,7,8:43:00 AM,8:57:00 AM,
2/17/2017,Friday,0,6:58:00 AM,6:58:00 AM,
2/17/2017,Friday,2,8:01:00 AM,8:01:00 AM,
2/21/2017,Tuesday,7,7:22:00 AM,7:26:00 AM,
2/22/2017,Wednesday ,5,7:13:00 AM,7:21:00 AM,
2/22/2017,Wednesday ,25,8:20:00 AM,8:36:00 AM,
2/23/2017,Thursday,1,7:24:00 AM,7:24:00 AM,
2/23/2017,Thursday,3,8:15:00 AM,8:15:00 AM,
2/24/2017,Friday,0,7:19:00 AM,7:23:00 AM,
2/24/2017,Friday,4,8:06:00 AM,8:08:00 AM,
2/27/2017,Monday,9,7:22:00 AM,7:27:00 AM,
2/27/2017,Monday,25,8:01:00 AM,8:10:00 AM,
2/28/2017,Tuesday,2,7:24:00 AM,7:21:00 AM,
2/28/2017,Tuesday,4,8:20:00 AM,8:22:00 AM,
3/1/2017,Wednesday,0,7:23:00 AM,7:25:00 AM,
3/1/2017,Wednesday,8,8:10:00 AM,8:14:00 AM,
3/2/2017,Thursday,0,7:27:00 AM,7:27:00 AM,
3/7/2017,Tuesday,6,7:06:00 AM,7:07:00 AM,
3/7/2017,Tuesday,18,8:13:00 AM,8:17:00 AM,
3/8/2017,Wednesday,0,7:23:00 AM,7:23:00 AM,
3/8/2017,Wednesday,5,8:15:00 AM,8:16:00 AM,
3/9/2017,Thursday,4,7:34:00 AM,7:36:00 AM,
3/9/2017,Thursday,10,8:24:00 AM,8:28:00 AM,
3/10/2017,Friday,0,6:27:00 AM,6:31:00 AM,
3/10/2017,Friday,11,8:11:00 AM,8:17:00 AM,
